indicator,year,geography,fips,race,sex,age_group,misc,rate,cases,population
AIDS deaths,2001,Montana,30,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.9,7,750912
AIDS deaths,2001,Nebraska,31,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,45,1402199
AIDS deaths,2001,Nevada,32,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,98,1695164
AIDS deaths,2001,New Hampshire,33,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,16,1036269
AIDS deaths,2001,New Jersey,34,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,14.9,1038,6957089
AIDS deaths,2001,New Mexico,35,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,47,1473887
AIDS deaths,2001,New York,36,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,19.1,2999,15707834
AIDS deaths,2001,North Carolina,37,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.8,393,6738139
AIDS deaths,2001,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,6,529803
AIDS deaths,2001,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,58080
AIDS deaths,2001,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.8,258,9338793
AIDS deaths,2001,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.7,105,2836102
AIDS deaths,2001,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.2,92,2864127
AIDS deaths,2001,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7,722,10246758
AIDS deaths,2001,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,26.3,806,3059068
AIDS deaths,2001,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.1,45,879198
AIDS deaths,2001,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,11,367,3332831
AIDS deaths,2001,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1,6,619560
AIDS deaths,2001,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.4,352,4739081
AIDS deaths,2001,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.8,1327,16977931
AIDS deaths,2001,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.9,5,85163
AIDS deaths,2001,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,26,1762207
